"state","age","total_persons","total_males","total_females","rural_persons","rural_males","rural_females","urban_persons","urban_males","urban_females"
"ANDAMAN & NICOBAR ISLAND","All ages",380581,202871,177710,237093,126287,110806,143488,76584,66904
"ANDAMAN & NICOBAR ISLAND","0.000000",5378,2727,2651,3575,1818,1757,1803,909,894
"ANDAMAN & NICOBAR ISLAND","1.000000",5997,3071,2926,3837,1945,1892,2160,1126,1034
"ANDAMAN & NICOBAR ISLAND","2.000000",5834,2939,2895,3798,1900,1898,2036,1039,997
"ANDAMAN & NICOBAR ISLAND","3.000000",5760,2938,2822,3743,1912,1831,2017,1026,991
"ANDAMAN & NICOBAR ISLAND","4.000000",5785,2966,2819,3722,1894,1828,2063,1072,991
"ANDAMAN & NICOBAR ISLAND","5.000000",5967,2989,2978,3788,1899,1889,2179,1090,1089
"ANDAMAN & NICOBAR ISLAND","6.000000",6157,3140,3017,3952,2002,1950,2205,1138,1067
"ANDAMAN & NICOBAR ISLAND","7.000000",6218,3208,3010,3919,2061,1858,2299,1147,1152
"ANDAMAN & NICOBAR ISLAND","8.000000",5940,3072,2868,3723,1938,1785,2217,1134,1083
"ANDAMAN & NICOBAR ISLAND","9.000000",6172,3103,3069,3883,1949,1934,2289,1154,1135
"ANDAMAN & NICOBAR ISLAND","10.000000",7051,3608,3443,4436,2271,2165,2615,1337,1278
"ANDAMAN & NICOBAR ISLAND","11.000000",6929,3506,3423,4374,2164,2210,2555,1342,1213
"ANDAMAN & NICOBAR ISLAND","12.000000",6474,3261,3213,4096,2034,2062,2378,1227,1151
"ANDAMAN & NICOBAR ISLAND","13.000000",6497,3367,3130,4171,2115,2056,2326,1252,1074
"ANDAMAN & NICOBAR ISLAND","14.000000",6516,3376,3140,4149,2147,2002,2367,1229,1138
"ANDAMAN & NICOBAR ISLAND","15.000000",6728,3480,3248,4169,2176,1993,2559,1304,1255
"ANDAMAN & NICOBAR ISLAND","16.000000",6499,3397,3102,4010,2105,1905,2489,1292,1197
"ANDAMAN & NICOBAR ISLAND","17.000000",6407,3400,3007,3929,2074,1855,2478,1326,1152
"ANDAMAN & NICOBAR ISLAND","18.000000",6870,3587,3283,4282,2228,2054,2588,1359,1229
"ANDAMAN & NICOBAR ISLAND","19.000000",6522,3402,3120,3979,2061,1918,2543,1341,1202
"ANDAMAN & NICOBAR ISLAND","20.000000",7312,3827,3485,4422,2266,2156,2890,1561,1329
"ANDAMAN & NICOBAR ISLAND","21.000000",6799,3545,3254,4121,2083,2038,2678,1462,1216
"ANDAMAN & NICOBAR ISLAND","22.000000",7639,4061,3578,4609,2385,2224,3030,1676,1354
"ANDAMAN & NICOBAR ISLAND","23.000000",7482,3977,3505,4573,2387,2186,2909,1590,1319
"ANDAMAN & NICOBAR ISLAND","24.000000",7883,4118,3765,4815,2533,2282,3068,1585,1483
"ANDAMAN & NICOBAR ISLAND","25.000000",8892,4678,4214,5427,2867,2560,3465,1811,1654
"ANDAMAN & NICOBAR ISLAND","26.000000",8706,4650,4056,5334,2890,2444,3372,1760,1612
"ANDAMAN & NICOBAR ISLAND","27.000000",8146,4399,3747,5063,2723,2340,3083,1676,1407
"ANDAMAN & NICOBAR ISLAND","28.000000",8699,4595,4104,5279,2761,2518,3420,1834,1586
"ANDAMAN & NICOBAR ISLAND","29.000000",7279,3908,3371,4455,2434,2021,2824,1474,1350
"ANDAMAN & NICOBAR ISLAND","30.000000",9407,4943,4464,5796,3027,2769,3611,1916,1695
"ANDAMAN & NICOBAR ISLAND","31.000000",6774,3746,3028,4099,2294,1805,2675,1452,1223
"ANDAMAN & NICOBAR ISLAND","32.000000",7172,3933,3239,4366,2438,1928,2806,1495,1311
"ANDAMAN & NICOBAR ISLAND","33.000000",5943,3216,2727,3596,1986,1610,2347,1230,1117
"ANDAMAN & NICOBAR ISLAND","34.000000",6427,3521,2906,3954,2200,1754,2473,1321,1152
"ANDAMAN & NICOBAR ISLAND","35.000000",8644,4463,4181,5330,2719,2611,3314,1744,1570
"ANDAMAN & NICOBAR ISLAND","36.000000",6527,3448,3079,3888,2088,1800,2639,1360,1279
"ANDAMAN & NICOBAR ISLAND","37.000000",5701,3044,2657,3357,1852,1505,2344,1192,1152
"ANDAMAN & NICOBAR ISLAND","38.000000",6562,3363,3199,3947,2008,1939,2615,1355,1260
"ANDAMAN & NICOBAR ISLAND","39.000000",5408,2852,2556,3280,1757,1523,2128,1095,1033
"ANDAMAN & NICOBAR ISLAND","40.000000",7959,4260,3699,4847,2620,2227,3112,1640,1472
"ANDAMAN & NICOBAR ISLAND","41.000000",5063,2866,2197,2941,1689,1252,2122,1177,945
"ANDAMAN & NICOBAR ISLAND","42.000000",5401,3055,2346,3234,1822,1412,2167,1233,934
"ANDAMAN & NICOBAR ISLAND","43.000000",4053,2219,1834,2412,1317,1095,1641,902,739
