"state","year","excel"
"ANDAMAN & NICOBAR ISLAND","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-andaman-nicobar-island/download"
"ANDHRA PRADESH","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-andhra-pradesh/download"
"ARUNACHAL PRADESH","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-arunachal-pradesh/download"
"ASSAM","2001","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2001-assam/download"
"BIHAR","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-bihar/download"
"CHANDIGARH","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-chandigarh/download"
"CHHATTISGARH","2001","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2001-chhattisgarh/download"
"DADRA & NAGAR HAVELI","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-dadra-nagar-haveli/download"
"DAMAN & DIU","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-daman-diu/download"
"GOA","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-goa/download"
"GUJARAT","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-gujarat/download"
"HARYANA","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-haryana/download"
"HIMACHAL PRADESH","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-himachal-pradesh/download"
"INDIA","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-india/download"
"JAMMU & KASHMIR","2001","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2001-jammu-kashmir/download"
"JHARKHAND","2001","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2001-jharkhand/download"
"KARNATAKA","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-karnataka/download"
"KERALA","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-kerala/download"
"LAKSHADWEEP","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-lakshadweep/download"
"MADHYA PRADESH","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-madhya-pradesh/download"
"MAHARASHTRA","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-maharashtra/download"
"MANIPUR","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-manipur/download"
"MEGHALAYA","2001","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2001-meghalaya/download"
"MIZORAM","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-mizoram/download"
"NAGALAND","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-nagaland/download"
"NCT OF DELHI","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-nct-delhi/download"
"ODISHA","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-odisha/download"
"PUDUCHERRY","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-puducherry/download"
"PUNJAB","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-punjab/download"
"RAJASTHAN","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-rajasthan/download"
"SIKKIM","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-sikkim/download"
"TAMIL NADU","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-tamil-nadu/download"
"TRIPURA","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-tripura/download"
"UTTARAKHAND","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-uttarakhand/download"
"UTTAR PRADESH","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-uttar-pradesh/download"
"WEST BENGAL","2011","https://data.gov.in/resources/population-single-year-age-residence-and-sex-2011-west-bengal/download"
